nodeName	altName	nodeAttr[nodesPresent, ]
F2RL3	NA	blue
AC008760.1	NA	blue
LUNAR1	NA	blue
RNU6-456P	NA	blue
AC007406.4	NA	blue
OR6J1	NA	blue
AC004870.1	NA	blue
CER1	NA	blue
IGLV1-36	NA	blue
HNF1A	NA	blue
AC116533.1	NA	blue
RPL12P13	NA	blue
TDGF1	NA	blue
MIR3680-2	NA	blue
AC020910.2	NA	blue
GUSBP3	NA	blue
ANKRD22	NA	blue
HAUS6P3	NA	blue
AC008267.8	NA	blue
AL645608.7	NA	blue
ULBP1	NA	blue
PRADC1P1	NA	blue
CTAGE6	NA	blue
AL034397.3	NA	blue
MIR4533	NA	blue
AC011840.1	NA	blue
AL356215.1	NA	blue
KRT39	NA	blue
CLEC4M	NA	blue
AC118282.1	NA	blue
AL031666.2	NA	blue
AC090572.3	NA	blue
Z82244.2	NA	blue
RNU6-737P	NA	blue
AC093390.1	NA	blue
AC138466.1	NA	blue
LINC02367	NA	blue
GOLGA8O	NA	blue
AL355306.2	NA	blue
AC023137.1	NA	blue
PTK6	NA	blue
GRAMD4P7	NA	blue
AC104695.3	NA	blue
S100A12	NA	blue
SNHG27	NA	blue
AL162457.2	NA	blue
MIR181B1	NA	blue
RNU4-80P	NA	blue
VCX	NA	blue
PRF1	NA	blue
LINC01502	NA	blue
AP000808.1	NA	blue
AC090572.2	NA	blue
CTNNA1P1	NA	blue
ZNF812P	NA	blue
OBP2A	NA	blue
LINC02261	NA	blue
LCN10	NA	blue
TCAF2P1	NA	blue
RNU7-123P	NA	blue
ABHD17AP5	NA	blue
AC024560.1	NA	blue
CEBPD	NA	blue
GPR78	NA	blue
AC079064.1	NA	blue
ASNSP1	NA	blue
S1PR5	NA	blue
AL158198.1	NA	blue
FAM92B	NA	blue
IL17B	NA	blue
AC005014.3	NA	blue
MIR4274	NA	blue
HLA-J	NA	blue
CD80	NA	blue
AC108463.3	NA	blue
GDA	NA	blue
ADGRG3	NA	blue
AC087072.2	NA	blue
NOS2P3	NA	blue
AC093909.1	NA	blue
TEX43	NA	blue
AL158801.2	NA	blue
GPIHBP1	NA	blue
LINC01714	NA	blue
AC004980.3	NA	blue
C19orf33	NA	blue
DDIT4-AS1	NA	blue
OR9I2P	NA	blue
GRIFIN	NA	blue
HILPDA	NA	blue
Z97353.2	NA	blue
CCL20	NA	blue
MIR4648	NA	blue
AC008591.1	NA	blue
MIR338	NA	blue
AC011511.5	NA	blue
CCDC190	NA	blue
MAS1LP1	NA	blue
MIR210	NA	blue
AGMO	NA	blue
IRF4	NA	blue
Z83844.2	NA	blue
DYNLL1P1	NA	blue
TGIF1	NA	blue
AC025259.2	NA	blue
AC005829.2	NA	blue
AC027277.2	NA	blue
LINC02129	NA	blue
RGPD5	NA	blue
GAPDHP72	NA	blue
AC087269.1	NA	blue
OR52L2P	NA	blue
AC245140.1	NA	blue
CDHR5	NA	blue
LSM1P1	NA	blue
MIR6728	NA	blue
CYCSP32	NA	blue
SPINK9	NA	blue
AC093909.6	NA	blue
FAM138C	NA	blue
AC007098.1	NA	blue
AC093525.5	NA	blue
AC240565.2	NA	blue
GAPDHP71	NA	blue
RNU6-388P	NA	blue
MIR6815	NA	blue
AC004854.1	NA	blue
LDHBP1	NA	blue
AC092418.1	NA	blue
TEX13C	NA	blue
AC015936.1	NA	blue
RN7SL817P	NA	blue
AC097652.1	NA	blue
CYP4B1	NA	blue
PSORS1C3	NA	blue
AC108125.1	NA	blue
KLF17	NA	blue
AC087163.1	NA	blue
LINC02301	NA	blue
PON1	NA	blue
GPR183	NA	blue
AC138466.4	NA	blue
HIST1H3J	NA	blue
BMS1P3	NA	blue
GSTA8P	NA	blue
RNU6-730P	NA	blue
AC013429.1	NA	blue
AC005162.2	NA	blue
MT-TH	NA	blue
ISCA2P1	NA	blue
AC242988.1	NA	blue
MIR4782	NA	blue
TMPRSS13	NA	blue
AP005131.1	NA	blue
YTHDF1P1	NA	blue
SETP16	NA	blue
AC012048.1	NA	blue
HCG22	NA	blue
PKD1P5	NA	blue
AC011840.2	NA	blue
OLR1	NA	blue
AC044860.2	NA	blue
MIR7845	NA	blue
CTAGE10P	NA	blue
MIR4999	NA	blue
CCR9	NA	blue
AC007954.1	NA	blue
RBAKDN	NA	blue
RN7SL293P	NA	blue
LGALS3	NA	blue
AL356390.1	NA	blue
FAM86KP	NA	blue
AC018521.2	NA	blue
IL1A	NA	blue
CBLL2	NA	blue
NAMPTP1	NA	blue
AC107081.2	NA	blue
OR8R1P	NA	blue
RPRML	NA	blue
RPS3AP54	NA	blue
