Gene	corr	p.value	p.adj	Module
AC009975.1	-0.152957948130667	0.17837202448322	1	MEblue
BTG2	0.864923692289053	9.25175302009405e-25	5.4400307758153e-22	MEblue
FOSL1	0.790243048181279	4.78045356938631e-18	2.6866149059951e-15	MEblue
AC104695.4	0.892239444796442	2.62233814504399e-28	1.55242418186604e-25	MEblue
MIR7853	-0.119319655560003	0.294924578534205	1	MEblue
MAFF	0.957104802622446	3.55384760967394e-43	2.12875471819469e-40	MEblue
GOLGA6L4	-0.264838637532852	0.0183389948998621	1	MEblue
C12orf77	0.248510466112327	0.0272184234722633	1	MEblue
LUCAT1	0.817294811610541	4.05042101261832e-20	2.31279039820506e-17	MEblue
ATF3	0.864919642459627	9.26170587998976e-25	5.4400307758153e-22	MEblue
AGAP7P	0.272297963836045	0.0151938435535458	1	MEblue
AC105924.1	0.214105517634542	0.0581302968505401	1	MEblue
HLA-DRB6	0.275410766446362	0.0140260164061665	1	MEblue
OR2B8P	0.165586628162317	0.14473142735712	1	MEblue
TBC1D3D	0.414122139611202	0.00014826543738924	0.0684986320738287	MEblue
CCN1	0.858367358950943	5.04688338548844e-24	2.95242678051074e-21	MEblue
LINC01402	0.177604773433102	0.117371670222848	1	MEblue
AC004980.4	-0.187238595704814	0.098466235024334	1	MEblue
C1DP1	-0.265593193396381	0.0179973026745711	1	MEblue
KRTAP10-3	0.310502139086425	0.00535265712679911	1	MEblue
GALR1	0.381169727297441	0.00052879425883885	0.232669473889094	MEblue
AC025280.1	0.654428658472069	6.10963142090352e-11	3.31142023012971e-08	MEblue
CA9	0.787721906272158	7.19463086715771e-18	4.03618791647547e-15	MEblue
E2F7	0.301545247136555	0.0069205156391564	1	MEblue
KLK11	0.121170005846057	0.28744574614782	1	MEblue
AC131025.2	0.465015556879744	1.57688720582599e-05	0.00775828505266386	MEblue
OR5AC2	0.425695537736181	9.18583566980302e-05	0.0431734276480742	MEblue
TBC1D3	0.326151119709405	0.00335323273808728	1	MEblue
HIF1A-AS2	0.647811371891327	1.09729075082433e-10	5.93634296195961e-08	MEblue
AC123768.4	-0.202905528816796	0.0729052129681209	1	MEblue
GPRC5A	0.857061050690963	7.00508552772002e-24	4.09096994818849e-21	MEblue
KRT17P2	-0.21510254320582	0.0569428552348826	1	MEblue
GADD45B	0.936531360985631	8.58951250973806e-37	5.13652848082336e-34	MEblue
ANGPTL4	0.783624574398129	1.38189217848739e-17	7.7385961995294e-15	MEblue
FP475955.4	0.354763414340664	0.00133673743535455	0.55207256080143	MEblue
OR5AC1	0.377567279417679	0.000602905551163182	0.264072631409474	MEblue
AC004264.1	0.798666367781795	1.170114224761e-18	6.59944422765206e-16	MEblue
LINC00887	0.763404142580738	2.84773060295523e-16	1.5776427540372e-13	MEblue
IL1B	0.365007424022024	0.000941499953402419	0.402020480102833	MEblue
NUTM2E	0.176509990764095	0.119685733414766	1	MEblue
LINC01348	0.622068902280175	9.40112927227535e-10	5.02960416066731e-07	MEblue
AC018630.1	-0.259325135538982	0.0210088398417464	1	MEblue
AC068446.2	0.169774134031409	0.13470174023991	1	MEblue
RPS3AP33	0.144703674623437	0.203244263826095	1	MEblue
AC093525.4	0.282487466983618	0.0116562497800391	1	MEblue
PLA2G2A	0.379001183343112	0.000572340013556864	0.251257265951463	MEblue
CLEC4GP1	-0.26788651515866	0.016992148872447	1	MEblue
DPPA5P4	0.572808491302188	3.46451787190251e-08	1.80154929338931e-05	MEblue
AL138900.2	-0.338302870677133	0.00229277790161169	0.898768937431781	MEblue
LIF	0.902969977325208	5.68055354440618e-30	3.38560991246608e-27	MEblue
OR5AC4P	0.465349811137071	1.55196981987612e-05	0.00765121121198925	MEblue
AC026704.1	0.32207870264287	0.00379608951853281	1	MEblue
AL773545.3	0.0676846930116426	0.553391271930671	1	MEblue
GJA5	-0.341432465575534	0.00207381226943779	0.820562592985057	MEblue
RNVU1-18	0.348050264731316	0.00167154260771288	0.678646298731428	MEblue
JUNB	0.898381558822856	3.08124855021249e-29	1.83026163882622e-26	MEblue
NR4A3	0.824860180339148	9.24732786711666e-21	5.32646085145919e-18	MEblue
RNA5-8SN4	-0.239301056317972	0.0336686873481294	1	MEblue
AL022324.1	0.259336687690961	0.0210029161637113	1	MEblue
AC133555.1	0.237130679011742	0.0353626132982237	1	MEblue
