Gene	corr	p.value	p.adj	Module
AL451046.2	0.0766911698689731	0.501729184210748	1	MEturquoise
F13A1	-0.167345566832125	0.140452273643293	1	MEturquoise
KLHDC7A	-0.577396029665318	2.53855237810663e-08	8.12590616231932e-05	MEturquoise
KRT16P6	0.877102847365004	3.08497282340486e-26	1.12539808597809e-22	MEturquoise
APLNR	0.44127122535632	4.68973759651212e-05	0.131265755326374	MEturquoise
DIO3OS	-0.893277018644953	1.84328912385249e-28	6.75381134979554e-25	MEturquoise
LINC02506	0.216815325781078	0.0549491872809236	1	MEturquoise
AC239800.1	0.17325905402591	0.126763970020335	1	MEturquoise
KIF25	0.256700403202	0.0223922727242879	1	MEturquoise
NOTO	0.876820570177354	3.35144597050544e-26	1.22227234544333e-22	MEturquoise
CLDN1	-0.738844322520293	7.67249761556884e-15	2.67693441807197e-11	MEturquoise
AL132822.1	-0.0852471244933903	0.455077300703351	1	MEturquoise
SHOX2	0.79306364067118	3.00567364374418e-18	1.06641300880044e-14	MEturquoise
ADGRF5P1	0.109366047973578	0.33732974893772	1	MEturquoise
FO538757.1	0.108418218408328	0.341558769249467	1	MEturquoise
NPIPB15	-0.108720669409072	0.34020569637496	1	MEturquoise
AC012501.2	0.11256315145707	0.323309566693956	1	MEturquoise
CR381653.2	-0.0853440662534157	0.454562822811794	1	MEturquoise
LINC01551	-0.650595870680034	8.59155978553491e-11	2.87301759228287e-07	MEturquoise
SERF1A	-0.106378293601768	0.350772753475692	1	MEturquoise
STEAP4	-0.786825954634031	8.30851989900583e-18	2.93955434026826e-14	MEturquoise
OVOL2	0.821599143443494	1.76291550929212e-20	6.30947460775651e-17	MEturquoise
RPL23AP38	0.853719647532459	1.596996463467e-23	5.77154521896974e-20	MEturquoise
SST	-0.617958174457312	1.30119619633768e-09	4.26922472018393e-06	MEturquoise
ICOSLG	-0.172834666710514	0.127711074622747	1	MEturquoise
RNASE3	-0.410256509800747	0.00017331072022869	0.465339283814032	MEturquoise
LINC00348	0.847033407049279	7.82513150688494e-23	2.82017739508133e-19	MEturquoise
HTATSF1P2	0.569813627590998	4.23354231731012e-08	0.000134711316536808	MEturquoise
AGXT	-0.26534567911375	0.0181087792285391	1	MEturquoise
AL357153.1	-0.190720792426934	0.0922519810111508	1	MEturquoise
TECTB	-0.230062235414263	0.0413809674580108	1	MEturquoise
LINC02282	-0.676092065329046	8.0848425532425e-12	2.73995314129388e-08	MEturquoise
RCN1P2	0.115071485855542	0.312574458710959	1	MEturquoise
LINC02159	-0.269433718385148	0.0163416304431801	1	MEturquoise
HGC6.3	0.239561330281914	0.0334701960750839	1	MEturquoise
THAP12P9	-0.063727029039217	0.576873345442825	1	MEturquoise
CYP26B1	-0.877167030243048	3.02731655541391e-26	1.10466781107053e-22	MEturquoise
FZD10	-0.702478269499567	5.39867622862987e-13	1.85876422551726e-09	MEturquoise
AL121757.1	0.218084978691329	0.0535084445461204	1	MEturquoise
BX640514.1	0.879484031384509	1.52112777773713e-26	5.55820089985149e-23	MEturquoise
CYP19A1	-0.808938052780297	1.91659574012518e-19	6.83649700502653e-16	MEturquoise
LINC02138	0.307754959697309	0.00579623637327614	1	MEturquoise
AC093525.7	0.0562165639425335	0.622656469937309	1	MEturquoise
PLA2G3	0.795790164879259	1.90611388224633e-18	6.77051650973896e-15	MEturquoise
AC140125.2	0.311819695087065	0.0051507838298968	1	MEturquoise
LINC01115	0.358734130409076	0.00116851536064287	1	MEturquoise
PPP1R2P5	0.150688468703225	0.184977661473791	1	MEturquoise
BPIFC	0.738415380470007	8.10014766035483e-15	2.82452148916573e-11	MEturquoise
GVINP2	-0.200769079502282	0.0760393866041059	1	MEturquoise
BTG4	0.583076057819937	1.71580073543767e-08	5.51115196222579e-05	MEturquoise
AC111152.1	0.205463502769562	0.069289906855863	1	MEturquoise
AP005242.3	-0.404701301224483	0.000216177346902075	0.574815565412617	MEturquoise
OR7D2	0.267859725961957	0.0170036057325804	1	MEturquoise
KPNA2P1	0.580327756040241	2.07579635002549e-08	6.65085150548169e-05	MEturquoise
PQLC2L	0.947479655030131	7.20128252806302e-40	2.67959722869225e-36	MEturquoise
SERTM2	-0.520345457037424	8.86703176745711e-07	0.00269203084459998	MEturquoise
SNX18P13	-0.304315141720136	0.00639725870555263	1	MEturquoise
ANKRD20A17P	0.194277414941031	0.0862279703739447	1	MEturquoise
SNX18P12	0.0898400841392428	0.43105799780409	1	MEturquoise
PMAIP1	-0.651211166229427	8.13665047935536e-11	2.7225232503923e-07	MEturquoise
DGCR6	0.218068259975361	0.053527213219658	1	MEturquoise
ESPNP	-0.642616053661393	1.72056510742434e-10	5.73292293793789e-07	MEturquoise
CYP4F29P	-0.337413069855854	0.00235871383271123	1	MEturquoise
AC103810.5	-0.0249663698453224	0.827115158558989	1	MEturquoise
NPVF	-0.587574297020933	1.2514566916865e-08	4.03094200392223e-05	MEturquoise
AL590644.1	-0.227993905241603	0.043294904832708	1	MEturquoise
ANKRD20A11P	-0.329296801417116	0.00304335829889683	1	MEturquoise
OR6B2	-0.110731426359483	0.331295984873631	1	MEturquoise
VN1R84P	0.142062309397002	0.211702889290656	1	MEturquoise
LINC02217	0.84822602429919	5.92682288383076e-23	2.13721233190937e-19	MEturquoise
PLGLB2	0.0591261502229194	0.604736366351616	1	MEturquoise
LINC01471	0.323680117335655	0.00361608071740856	1	MEturquoise
ACAN	-0.169495866240616	0.135351444389277	1	MEturquoise
FOLH1B	-0.0847594464822165	0.457670318427008	1	MEturquoise
AC080023.2	-0.0713641574469386	0.531980305158743	1	MEturquoise
CLDN2	-0.65525744823277	5.6717956720937e-11	1.90345462755465e-07	MEturquoise
SMG1P4	-0.0466457935176628	0.683118878559205	1	MEturquoise
AC125611.4	0.873734544522559	8.18338586968497e-26	2.98120747232624e-22	MEturquoise
MIR1-1HG	0.85467807378425	1.26346741521461e-23	4.56743470600082e-20	MEturquoise
AL359547.1	0.685453209279419	3.19728296509542e-12	1.08835512131848e-08	MEturquoise
SLC6A2	0.580393421876896	2.06641355023089e-08	6.62285542848999e-05	MEturquoise
CRHBP	0.739501026303099	7.05965456073987e-15	2.46381944169821e-11	MEturquoise
AL606748.1	0.822756110970651	1.40433548834394e-20	5.03032971924799e-17	MEturquoise
SLC30A8	0.0416566169148838	0.715478053089326	1	MEturquoise
COL17A1	0.885274299187384	2.55599538526108e-27	9.34983111928503e-24	MEturquoise
RPSAP39	0.573833022074631	3.23340255953656e-08	0.000103145541649216	MEturquoise
MMP20	0.500067303195598	2.70040507024799e-06	0.00803370508398778	MEturquoise
TMEM171	0.847206170316644	7.5175282921928e-23	2.7100689493355e-19	MEturquoise
PWP2	0.0583500796818822	0.609493981325636	1	MEturquoise
FBXO40	0.794243093940126	2.47027046361541e-18	8.7694601458347e-15	MEturquoise
AC068756.1	0.159917932432449	0.159189044991505	1	MEturquoise
HSFX2	-0.0156228032856749	0.891304663479039	1	MEturquoise
AC009244.1	-0.0961048579209013	0.399487987612591	1	MEturquoise
SELE	0.167311793217007	0.140533529850871	1	MEturquoise
AL592463.1	0.898061615388719	3.45636311184499e-29	1.26848526204711e-25	MEturquoise
DSC1	0.573995114995913	3.19820810180988e-08	0.000102054820528753	MEturquoise
LINC01531	0.804466675467411	4.26834620388393e-19	1.52166542168462e-15	MEturquoise
MIR1261	-0.0312297019010816	0.784685675269766	1	MEturquoise
AC091891.1	0.85783466653073	5.77110469338119e-24	2.09029411994267e-20	MEturquoise
SLCO4C1	0.630190017806343	4.8772508584901e-10	1.61290685890267e-06	MEturquoise
AF111167.1	-0.700274113891733	6.84445142019612e-13	2.35175350797939e-09	MEturquoise
AP003472.1	0.466525428195533	1.46722409651883e-05	0.0422707262207075	MEturquoise
PI16	0.114549863768111	0.314787704403573	1	MEturquoise
AC011466.2	-0.0933496430987091	0.413200876943286	1	MEturquoise
AP005018.2	-0.158437352668269	0.163135836969439	1	MEturquoise
RPL7P3	0.853475835333482	1.69461029961358e-23	6.12093240220426e-20	MEturquoise
NPIPB2	0.0273999892924477	0.810563116819618	1	MEturquoise
Z93241.1	-0.591250940476934	9.63468179321515e-09	3.11392915556714e-05	MEturquoise
PRL	-0.815327555827603	5.88125700171997e-20	2.10137312671454e-16	MEturquoise
LINC01257	0.876784175894908	3.38738726356049e-26	1.23504139629415e-22	MEturquoise
AL355096.1	-0.736618817339982	1.01544911645019e-14	3.5388401708289e-11	MEturquoise
C5orf46	0.389639733568207	0.000386161228137461	1	MEturquoise
SPINT1-AS1	0.455789472843631	2.43168443117077e-05	0.0691084715338733	MEturquoise
C2orf83	-0.32927492018613	0.003045422212137	1	MEturquoise
MRGPRE	0.970097855964303	4.19223470352682e-49	1.56957267300044e-45	MEturquoise
AC107373.1	0.874966389701214	5.74652625085664e-26	2.09403416581216e-22	MEturquoise
SPTA1	0.862553137319856	1.72584460128742e-24	6.26654174727463e-21	MEturquoise
MSX2	-0.371954109288847	0.000737423033855987	1	MEturquoise
AC146944.4	0.0548763618809104	0.630985933132214	1	MEturquoise
MSMP	-0.421136734217468	0.000111152637883783	0.302335175043891	MEturquoise
AC125421.1	-0.568600597143274	4.58903218838937e-08	0.000145839442947014	MEturquoise
IDO1	-0.449966286918603	3.1759361819835e-05	0.0898154752264934	MEturquoise
C5orf38	0.912622742452913	1.2091062727211e-31	4.44951108361363e-28	MEturquoise
AC024958.1	0.821607286411149	1.76010627179758e-20	6.30118045303532e-17	MEturquoise
AC116903.2	-0.0994068401678506	0.383412485414654	1	MEturquoise
AC106707.1	-0.531521034673432	4.65113205236458e-07	0.00142557197404974	MEturquoise
AC127496.3	-0.517194384353989	1.05924289088154e-06	0.00320738747358929	MEturquoise
ANKRD26P1	0.203906802752782	0.0714724466494954	1	MEturquoise
EPO	-0.474711963186971	9.86653609178638e-06	0.0287116200270984	MEturquoise
AC011473.3	0.359703989113779	0.00113045592746618	1	MEturquoise
RPL7AP28	0.317518237556241	0.00435322456486501	1	MEturquoise
AL450423.1	0.791923568011432	3.62887572987221e-18	1.28716222138567e-14	MEturquoise
PTPRQ	-0.85540451726324	1.05672785750821e-23	3.8242981163222e-20	MEturquoise
COL3A1	0.0999195633174928	0.380951640506331	1	MEturquoise
PRODH	-0.407964971481618	0.000189942562662652	0.507526527434606	MEturquoise
LINC02296	-0.530223728966071	5.0188630738444e-07	0.00153648993539044	MEturquoise
LINC02470	0.207310656672743	0.0667701007064433	1	MEturquoise
EIF4A2P1	0.804456253039606	4.27621653966953e-19	1.52404357473822e-15	MEturquoise
SLC47A2	-0.602345454736137	4.28892956256095e-09	1.39561767965733e-05	MEturquoise
LINC00491	0.62081875185218	1.0383107683048e-09	3.41085087388126e-06	MEturquoise
RNU2-63P	-0.473708716288947	1.0363872023684e-05	0.0301174121008256	MEturquoise
MT1H	-0.408911298214388	0.000182903589195539	0.489267101098067	MEturquoise
FERD3L	0.815006343069858	6.24789365311427e-20	2.23174761289242e-16	MEturquoise
AC107886.1	0.770335802146062	1.04507837942033e-16	3.68181113069782e-13	MEturquoise
AC113607.1	0.89432056861079	1.28830206489857e-28	4.72162706785326e-25	MEturquoise
AC243919.1	-0.140958592034842	0.215310278836319	1	MEturquoise
CD22	0.134951540535967	0.235705137654606	1	MEturquoise
AGTR2	0.756940254168974	7.03577390691582e-16	2.46955664132745e-12	MEturquoise
AP003385.2	0.359287874197322	0.00114664544995415	1	MEturquoise
CSF3	0.204852658898678	0.0701398425548539	1	MEturquoise
FAM138E	-0.337521719521382	0.00235057248703392	1	MEturquoise
FOLR1	-0.662526696582946	2.92496973826489e-11	9.85129807847615e-08	MEturquoise
IZUMO1	0.859591101783441	3.70114688653743e-24	1.34240597574713e-20	MEturquoise
AL137845.2	0.117171315593758	0.303766778891237	1	MEturquoise
MYF6	0.697708158107773	8.9978022694293e-13	3.08804573886814e-09	MEturquoise
ADGB	0.697579152727927	9.12170960662692e-13	3.12874639507303e-09	MEturquoise
AC007952.4	-0.567538727648552	4.9233331948982e-08	0.000156168128942171	MEturquoise
EBF2	0.944116656315695	7.37517948879458e-39	2.74061669803607e-35	MEturquoise
PKHD1	-0.890405254763846	4.84775520823684e-28	1.77476318173551e-24	MEturquoise
AL445209.1	0.813092285773437	8.93685631162853e-20	3.19045770325138e-16	MEturquoise
ALG1L14P	-0.0212540075638904	0.852507771781826	1	MEturquoise
ASCL4	0.765132860246986	2.22496417906347e-16	7.83187391030342e-13	MEturquoise
AC146949.1	0.0616962694312435	0.589098509812824	1	MEturquoise
AC061975.5	0.631402708637598	4.41471434303593e-10	1.46127044754489e-06	MEturquoise
COL18A1-AS1	-0.524305041596542	7.07359146333325e-07	0.00215532331887764	MEturquoise
SNX18P5	-0.0622053833466404	0.58602265667401	1	MEturquoise
KRTAP10-2	-0.146019507035978	0.199121715936206	1	MEturquoise
ANKRD20A9P	0.16665461973108	0.14212169158844	1	MEturquoise
AL359237.1	-0.540809061131792	2.67229059832885e-07	0.000828410085481943	MEturquoise
AL133166.1	-0.636252360843038	2.95088568520977e-10	9.79989136058166e-07	MEturquoise
CABP7	-0.764104687323959	2.57737143493641e-16	9.06203796523642e-13	MEturquoise
LINC01398	0.606090438430304	3.24075678946924e-09	1.05648671336697e-05	MEturquoise
PERM1	0.91867606754528	8.55229668479468e-33	3.15579747668924e-29	MEturquoise
AC116312.1	0.842267762389818	2.32075459976629e-22	8.3570373137584e-19	MEturquoise
MUC20P1	-0.032317332614356	0.777377559690641	1	MEturquoise
AP000894.2	0.839102040540885	4.6849891683746e-22	1.68378510711383e-18	MEturquoise
LRRC52	0.82221265195709	1.5629688480035e-20	5.59699144470053e-17	MEturquoise
AL121902.1	0.720199947464334	7.38409170817094e-14	2.55932618605205e-10	MEturquoise
CDH19	0.404649898641097	0.000216616003813755	0.57576533813696	MEturquoise
AL360268.1	-0.622786269717617	8.87839886052076e-10	2.92010538522528e-06	MEturquoise
AL355922.4	-0.680622319254162	5.18258942882906e-12	1.76104388791611e-08	MEturquoise
AL021920.2	-0.52228908773257	7.93890531929375e-07	0.0024134272170653	MEturquoise
DCUN1D2-AS	-0.693223159581771	1.44152020067598e-12	4.93144060651253e-09	MEturquoise
AC090616.5	0.00599760176223452	0.958163263592063	1	MEturquoise
AC025183.2	0.799067957861824	1.09236188790106e-18	3.88334651148827e-15	MEturquoise
OR2H5P	-0.247572105987816	0.0278237787888231	1	MEturquoise
LEP	0.679638704898837	5.71175930288272e-12	1.93971345925897e-08	MEturquoise
DPYD-AS1	-0.697685383178328	9.0195589002135e-13	3.09461065866325e-09	MEturquoise
AC008870.4	0.5984978519194	5.69851003288362e-09	1.8508760586806e-05	MEturquoise
AC104623.2	0.858368647828757	5.04524287769052e-24	1.82839601887504e-20	MEturquoise
AC123595.1	-0.558231671304212	9.02366785492933e-08	0.000283704117358978	MEturquoise
RHOT1P2	-0.17551849081888	0.121811574031139	1	MEturquoise
TWIST1	0.828228321649708	4.6822974843571e-21	1.68047656713576e-17	MEturquoise
AC104758.3	0.226180752353806	0.0450324856464987	1	MEturquoise
AC126177.3	0.93956795830251	1.37740562388785e-37	5.11017486462391e-34	MEturquoise
LINC01068	0.109328220643564	0.337497891895625	1	MEturquoise
IGHG4	-0.653939235925299	6.38320586900776e-11	2.1402889278783e-07	MEturquoise
LINC02084	0.817758509883157	3.70714195108216e-20	1.32493253331676e-16	MEturquoise
AC104009.1	0.854780316439434	1.23216161437779e-23	4.45549639759009e-20	MEturquoise
AC091860.2	0.657498502052347	4.63332624992635e-11	1.55633428735026e-07	MEturquoise
COL6A4P2	0.212218180190448	0.0604332932738567	1	MEturquoise
RPS2P5	-0.0896049009340081	0.432270120110501	1	MEturquoise
IGF2	-0.528505221787562	5.54842692552839e-07	0.00169670895382658	MEturquoise
RFPL4B	0.761937465098013	3.50523759609664e-16	1.23174049126836e-12	MEturquoise
AL356804.1	-0.218519378674689	0.0530226663481062	1	MEturquoise
LINC01606	0.0885075578326694	0.437951285561877	1	MEturquoise
TSPAN8	0.605749139520693	3.32508803723042e-09	1.08364619133339e-05	MEturquoise
GAGE1	-0.429530161245054	7.80819894684469e-05	0.21519396297504	MEturquoise
AC015468.3	-0.255163908149111	0.023237595476216	1	MEturquoise
TMEM183AP1	-0.311839202526833	0.00514784631252184	1	MEturquoise
AL353611.2	0.331777877513861	0.00281728796747967	1	MEturquoise
UNCX	-0.327081454358406	0.00325877832752351	1	MEturquoise
CXCL1	-0.435314186724668	6.08829597023686e-05	0.168828447254668	MEturquoise
CYP4F60P	-0.160728953604355	0.157057352677751	1	MEturquoise
LCN1P1	0.79935010010107	1.0407500420354e-18	3.70090714947788e-15	MEturquoise
CRB3P1	0.803355335170692	5.19158032127512e-19	1.84872175240607e-15	MEturquoise
TSPAN12	-0.281999456292433	0.011807690797079	1	MEturquoise
AL133371.1	-0.629619716786724	5.1104624330614e-10	1.68900783412679e-06	MEturquoise
IL2RA	0.34882363094452	0.00162945201981065	1	MEturquoise
AC022730.4	0.210789778109328	0.0622251202077004	1	MEturquoise
KRTAP10-1	-0.240814933311768	0.0325278618867429	1	MEturquoise
SDR42E1	-0.289041489988082	0.009780221279357	1	MEturquoise
AC092159.4	-0.0205583508989278	0.857283615000186	1	MEturquoise
KCNE1B	0.696977984623742	9.72108294307108e-13	3.33238723288477e-09	MEturquoise
RARRES1	-0.595142158136748	7.27903899691569e-09	2.35986444280007e-05	MEturquoise
SNORD3B-1	-0.447709471005491	3.5176327306508e-05	0.099162066677046	MEturquoise
PROK2	-0.125544616246099	0.270267133057582	1	MEturquoise
AC123912.1	0.0189604355215862	0.868272812144901	1	MEturquoise
OR2A9P	-0.0547534773181049	0.631751996671792	1	MEturquoise
AP003774.3	0.861100433920047	2.51452736445297e-24	9.12773433296427e-21	MEturquoise
ANXA13	-0.398551609503342	0.000274872391277829	0.722914389060689	MEturquoise
INHBA	-0.73550558629193	1.16704293422652e-14	4.06481053991097e-11	MEturquoise
CPZ	-0.586397715903635	1.35976812561331e-08	4.37437406009803e-05	MEturquoise
ANKS4B	-0.252500570226719	0.0247672377472058	1	MEturquoise
PHLDA2	0.733965186670976	1.41320538559727e-14	4.91654153649292e-11	MEturquoise
FAM153CP	0.484163733093064	6.1605531324851e-06	0.0180935445501087	MEturquoise
AP001324.1	-0.00338034483099276	0.976412908427804	1	MEturquoise
CES1P1	-0.219027055776272	0.052459528214071	1	MEturquoise
CBSL	0.0704323951685919	0.537363133042018	1	MEturquoise
STK25P1	0.737124054266234	9.53086681048186e-15	3.32246017013398e-11	MEturquoise
TWIST2	-0.514435790232003	1.23583727617065e-06	0.00372852106220686	MEturquoise
AL356515.1	-0.701933523902145	5.72589008671134e-13	1.97027877883737e-09	MEturquoise
GPR174	0.328644460179151	0.00310542941290968	1	MEturquoise
AL606807.1	-0.756053201491073	7.94814532784378e-16	2.78661975194203e-12	MEturquoise
AC116903.1	0.00974099373148992	0.932100934169984	1	MEturquoise
AL512324.3	0.486923370716687	5.35481564277071e-06	0.0157699320679597	MEturquoise
MARCO	-0.35780073780211	0.00120623601898621	1	MEturquoise
AC108215.1	-0.567646820267329	4.888273786309e-08	0.000155153809977448	MEturquoise
HSD11B1	0.623431227851144	8.4322430170171e-10	2.77589440120203e-06	MEturquoise
AC148477.4	0.939226142431747	1.7004959535711e-37	6.30713949179521e-34	MEturquoise
AC103810.2	-0.0971990742148308	0.3941173570394	1	MEturquoise
NMRK2	0.784972305725815	1.11664631094727e-17	3.94734470919861e-14	MEturquoise
CYP3A5	0.850271106791187	3.65992926589202e-23	1.32050247913384e-19	MEturquoise
KANK4	0.914294174613525	5.9341491740358e-32	2.18673397063219e-28	MEturquoise
AP003100.1	-0.486104283510495	5.58300499184551e-06	0.0164307836910013	MEturquoise
IRX1	0.92797110069452	9.53342661570775e-35	3.52069444918087e-31	MEturquoise
ARHGEF35	-0.29249452075065	0.00890231832118416	1	MEturquoise
SOX21	0.191219693614665	0.0913875241849573	1	MEturquoise
GLYAT	0.650318176866059	8.80475681662088e-11	2.94343020379636e-07	MEturquoise
SLC25A39P2	0.00560484513082344	0.960900741553453	1	MEturquoise
MIR503HG	-0.405946019963919	0.000205801623202177	0.548667127457005	MEturquoise
AC127164.1	0.725330766980208	4.03365378342901e-14	1.40129132436324e-10	MEturquoise
HNF4G	0.688105233547448	2.44290019988955e-12	8.3254038812236e-09	MEturquoise
COL10A1	-0.764333796049916	2.49445918016281e-16	8.77550739581278e-13	MEturquoise
AC116609.1	-0.189257343064501	0.094824909954823	1	MEturquoise
LINC02463	-0.306357165473319	0.00603416670093992	1	MEturquoise
HPRT1P2	0.21539514169921	0.0565981545851845	1	MEturquoise
AC010620.1	0.265414829626627	0.018077575409266	1	MEturquoise
AC023202.1	0.746240891770196	2.96057725179967e-15	1.03560992267952e-11	MEturquoise
POU4F1	0.928770443574593	6.29832561108578e-35	2.3272313132962e-31	MEturquoise
AC025437.4	0.247715321665444	0.0277306580915342	1	MEturquoise
SPERT	-0.454755444376552	2.55066544659285e-05	0.0724133920287711	MEturquoise
LINC00592	0.164314085612087	0.147887807771457	1	MEturquoise
AC100797.5	0.791258604407892	4.04823662361943e-18	1.43469505941072e-14	MEturquoise
AP000829.1	0.781193539483882	2.02197041746668e-17	7.13957754407486e-14	MEturquoise
FGF10-AS1	0.647499581442388	1.12758934105587e-10	3.76840357780871e-07	MEturquoise
RN7SKP288	0.720239500274313	7.3501298647909e-14	2.548290024123e-10	MEturquoise
LAD1	-0.567397793712736	4.96940338292186e-08	0.000157530087238623	MEturquoise
CU633967.1	0.200209700061594	0.0768775500905768	1	MEturquoise
HERC2P4	0.179467166352078	0.113514393361317	1	MEturquoise
ALDH1A3	-0.575843038121793	2.82187573539865e-08	9.01871485033408e-05	MEturquoise
LINC01053	-0.440316393909259	4.89168826210347e-05	0.136771603808413	MEturquoise
MAP3K19	0.841080008128141	3.02602791549168e-22	1.08906744678545e-18	MEturquoise
KLRG2	0.679107554578783	6.01869930580127e-12	2.04274654438895e-08	MEturquoise
RPL7P18	0.823738552044655	1.15623055346901e-20	4.14393030363293e-17	MEturquoise
EDN2	-0.715033232573546	1.33942915573332e-13	4.62906716221435e-10	MEturquoise
AC064853.1	-0.335296448765145	0.00252244867495505	1	MEturquoise
LINC02330	-0.410248646579559	0.000173365420144787	0.465339283814032	MEturquoise
FAM83B	0.721456996244965	6.37529889190449e-14	2.21159118560167e-10	MEturquoise
CCNG2P1	0.342025936118862	0.00203447682246765	1	MEturquoise
AC142384.1	-0.58159145987967	1.90215069363745e-08	6.10400157588258e-05	MEturquoise
Z99289.3	0.710551794737163	2.22164419590773e-13	7.66911576427348e-10	MEturquoise
BMS1P2	-0.13938021069723	0.220544166204642	1	MEturquoise
CR2	0.357055299625312	0.00123714912889131	1	MEturquoise
LINC02518	0.933916493594656	3.8691037422246e-36	1.43195529499732e-32	MEturquoise
AC110741.3	-0.417707532925685	0.000128064933580487	0.346927905069539	MEturquoise
IGLL3P	0.00806685282068346	0.943749499445873	1	MEturquoise
AC061975.1	0.56164650900164	7.24064460163635e-08	0.000228514743627643	MEturquoise
SIRPB1	-0.0215057158194405	0.850781032512523	1	MEturquoise
HTR1F	-0.810386485629584	1.47206277548263e-19	5.25231998292202e-16	MEturquoise
LINC02050	0.122127756239178	0.283624380329284	1	MEturquoise
AC133528.1	0.585362287147028	1.46241546271903e-08	4.70166571264169e-05	MEturquoise
SDHDP6	0.0601866657429159	0.598261545698584	1	MEturquoise
AP001605.1	0.305158258721686	0.00624507188528954	1	MEturquoise
HIST1H2APS5	-0.473070196570336	1.06925197232298e-05	0.0310510772762594	MEturquoise
SOX3	-0.715510637938466	1.26841700073883e-13	4.38491757155413e-10	MEturquoise
RNU1-120P	-0.583238530153021	1.69649585803193e-08	5.45084119185658e-05	MEturquoise
KRT19	-0.546515381687615	1.88535449591236e-07	0.000587476460926291	MEturquoise
LINC02368	0.709991754669762	2.36507916674107e-13	8.15952312525669e-10	MEturquoise
NEFL	0.952483647190772	1.6747158323082e-41	6.25171420200651e-38	MEturquoise
GSTT2	0.129206483598132	0.256428876180435	1	MEturquoise
IRX2	0.931899470268569	1.18518095260011e-35	4.38161398176259e-32	MEturquoise
ADH4	-0.28297179783827	0.0115076236967526	1	MEturquoise
METTL7B	-0.609139810066703	2.57263141319511e-09	8.39964156408204e-06	MEturquoise
SLX1B	0.214512391137959	0.0576433035802534	1	MEturquoise
RPL7AP49	-0.0794936197857533	0.486180841361733	1	MEturquoise
POU4F2	0.932691021466367	7.66995059037268e-36	2.83711472337885e-32	MEturquoise
AP006288.1	-0.504204910990846	2.16398524847369e-06	0.00647031589293633	MEturquoise
AC127496.4	-0.661806039088277	3.12598364431635e-11	1.05220609467688e-07	MEturquoise
KCNE4	-0.543576980050393	2.25814368657293e-07	0.000701153614680896	MEturquoise
HTR1B	0.948206962555131	4.26742494518696e-40	1.58918904958762e-36	MEturquoise
AC087473.1	-0.048186294540295	0.673238402214057	1	MEturquoise
AC093525.9	-0.0608327165139693	0.594332363850886	1	MEturquoise
MTCO3P12	0.142521160719044	0.210215854399725	1	MEturquoise
AC073525.1	0.772054255196322	8.10706173656524e-17	2.85773926213925e-13	MEturquoise
AL359182.1	-0.48346276556309	6.38261323415285e-06	0.0186946741628337	MEturquoise
GRP	-0.200428041874796	0.0765495167198316	1	MEturquoise
CNBD1	-0.26392402028916	0.0187606195003392	1	MEturquoise
AC009487.4	0.709738115832526	2.43293387722065e-13	8.38875600865681e-10	MEturquoise
FABP3	0.898281536952205	3.19405324398633e-29	1.17285635119178e-25	MEturquoise
RPS10-NUDT3	0.668053357239901	1.74625262925274e-11	5.89360262372801e-08	MEturquoise
TTC39A	0.967585344123309	8.93735422824998e-48	3.34435795221114e-44	MEturquoise
AC092159.1	0.198936156106919	0.0788133476541427	1	MEturquoise
PGAM1P4	-0.657583812447995	4.59763968187332e-11	1.54480693310944e-07	MEturquoise
LINC02617	0.301694061392712	0.0068914737974137	1	MEturquoise
AC105105.4	-0.463414586610175	1.70150193192931e-05	0.0486969852918168	MEturquoise
FAM183A	-0.11896953506417	0.296353962485379	1	MEturquoise
CRH	-0.527581003081478	5.85463492697036e-07	0.00178859097018944	MEturquoise
ADH1B	-0.0506319715714133	0.657665816747129	1	MEturquoise
TBC1D3K	-0.0515413808281958	0.651911759072288	1	MEturquoise
NEFM	0.952223622141006	2.05626567848397e-41	7.67398351210218e-38	MEturquoise
AC023034.1	0.562551142425096	6.82762158205245e-08	0.000215889394424498	MEturquoise
AC009135.2	0.773472342179421	6.56340606476183e-17	2.3149133190415e-13	MEturquoise
AL512625.3	0.0112743191812962	0.921444587504258	1	MEturquoise
CDCA7	-0.531549216938837	4.6434336402659e-07	0.00142414109746955	MEturquoise
LINC01727	0.21813735285791	0.0534496834174368	1	MEturquoise
CR392039.3	-0.133565679208486	0.240594543186512	1	MEturquoise
AC023300.3	0.694218642819053	1.29930283846445e-12	4.4475136160638e-09	MEturquoise
VGLL2	0.291814373585671	0.00906956878928233	1	MEturquoise
ALDH3B2	0.756077459009493	7.92174225882865e-16	2.77815501017121e-12	MEturquoise
OR51E2	0.189460229646116	0.0944648809149848	1	MEturquoise
ITPRID1	-0.142644557781345	0.209817219590253	1	MEturquoise
AC009021.2	0.0482869174290347	0.672594923546693	1	MEturquoise
AL353747.3	0.682070249771841	4.48842955583036e-12	1.52606604898232e-08	MEturquoise
AC010931.2	0.934823813764771	2.31144895227187e-36	8.56391836816728e-33	MEturquoise
ALOX15	0.193961659362249	0.0867498470389918	1	MEturquoise
AC105233.1	-0.176252360213345	0.120235350592901	1	MEturquoise
AC092159.3	0.186624028683495	0.0995962297402724	1	MEturquoise
MCIDAS	0.112297457832555	0.324460312566421	1	MEturquoise
AC114786.2	0.785298568719512	1.06025194140371e-17	3.74905086480351e-14	MEturquoise
