nodeName	altName	nodeAttr[nodesPresent, ]
MTND5P31	NA	yellow
DLX4	NA	yellow
ZNF80	NA	yellow
AC008083.2	NA	yellow
SPA17P1	NA	yellow
TRIM80P	NA	yellow
CD160	NA	yellow
AC005237.1	NA	yellow
TUBB3P2	NA	yellow
AC069272.1	NA	yellow
AC023442.2	NA	yellow
MIR4281	NA	yellow
NPM1P52	NA	yellow
OR7E87P	NA	yellow
AL157938.3	NA	yellow
AP000797.3	NA	yellow
AC092839.1	NA	yellow
AC007040.2	NA	yellow
RF00017	NA	yellow
AC064807.2	NA	yellow
AC005300.1	NA	yellow
ARPC3P2	NA	yellow
CCDC58P5	NA	yellow
KRT18P19	NA	yellow
RNU6-8	NA	yellow
AC125603.4	NA	yellow
AL157407.1	NA	yellow
AL022721.1	NA	yellow
RPL26P30	NA	yellow
OVOL1-AS1	NA	yellow
LINC02539	NA	yellow
DNM3OS	NA	yellow
FGF20	NA	yellow
EPHA1-AS1	NA	yellow
AC024267.1	NA	yellow
RIPPLY1	NA	yellow
AC090589.2	NA	yellow
TCP11	NA	yellow
SFTPA3P	NA	yellow
AL133232.1	NA	yellow
LINC01429	NA	yellow
MIR602	NA	yellow
AL135787.1	NA	yellow
AC008267.3	NA	yellow
RNU6-277P	NA	yellow
H1FNT	NA	yellow
AC116158.2	NA	yellow
CLDN34	NA	yellow
AL449403.1	NA	yellow
AC004034.1	NA	yellow
GOLGA6A	NA	yellow
GOLGA6B	NA	yellow
PKNOX2-AS1	NA	yellow
AL022238.3	NA	yellow
FABP1	NA	yellow
AC073878.2	NA	yellow
AL672291.1	NA	yellow
NFE4	NA	yellow
AC068768.1	NA	yellow
OR2K2	NA	yellow
FUT5	NA	yellow
AL031587.4	NA	yellow
AC012417.1	NA	yellow
RN7SL125P	NA	yellow
MTND4P29	NA	yellow
AC139453.2	NA	yellow
ZRANB2-AS1	NA	yellow
AC090950.2	NA	yellow
CACNG1	NA	yellow
AC004466.3	NA	yellow
